session_id,parent_tracking_id,markov_threat_score,sequence_summary,anomaly_reasons
172.19.130.68_20220123120519_000000,172.19.130.68_20220121120211_000000,0.26,DYNAMIC_QUERY,Rare transition: DYNAMIC_QUERY -> [MACHINE_SPEED]_ADMIN_ACTION (p=0.0016)
172.19.130.68_20220121094841_000000,172.19.130.68_20220121094841_000000,0.26,STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
172.19.130.68_20220123224000_000000,172.19.130.68_20220123224000_000000,0.26,STATIC_ASSET,Rare transition: DYNAMIC_QUERY -> [MACHINE_SPEED]_GENERIC_GET (p=0.0252)
10.143.2.91_20220124201745_000000,10.143.2.91_20220124201745_000000,0.26,STATIC_ASSET,Rare transition: ADMIN_ACTION -> [HUMAN_SPEED]_STATIC_ASSET (p=0.0193)
172.19.131.174_20220123195752_000000,172.19.131.174_20220123195752_000000,0.25,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_GENERIC_GET (p=0.0204)
10.143.2.91_20220122174750_000000,10.143.2.91_20220122174750_000000,0.25,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
10.143.2.25_20220123224000_000000,10.143.2.25_20220123224000_000000,0.25,STATIC_ASSET,Rare transition: SENSITIVE_FILE_ACCESS -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0255)
172.19.130.68_20220124210054_000000,172.19.130.68_20220124210054_000000,0.25,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
10.143.2.91_20220124185835_000000,10.143.2.91_20220124185835_000000,0.24,STATIC_ASSET -> AUTH_ACTION -> GENERIC_GET,Rare transition: ADMIN_ACTION -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0069)
172.19.130.68_20220121180219_000000,172.19.130.68_20220121120211_000000,0.24,DYNAMIC_QUERY -> SENSITIVE_FILE_ACCESS,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_ADMIN_ACTION (p=0.0004)
172.19.130.68_20220123060449_000000,172.19.130.68_20220121120211_000000,0.21,DYNAMIC_QUERY,Rare transition: DYNAMIC_QUERY -> [MACHINE_SPEED]_WAF_ALERT (p=0.0011)
172.19.130.68_20220122060319_000000,172.19.130.68_20220121120211_000000,0.21,DYNAMIC_QUERY -> SENSITIVE_FILE_ACCESS,Rare transition: DYNAMIC_QUERY -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0033)
172.19.130.68_20220124185835_000000,172.19.130.68_20220124185835_000000,0.21,AUTH_ACTION -> GENERIC_GET -> STATIC_ASSET,Rare transition: ADMIN_ACTION -> [MACHINE_SPEED]_GENERIC_GET (p=0.0041)
10.143.2.25_20220122181128_000000,10.143.2.25_20220122181128_000000,0.21,STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0178)
172.19.130.68_20220124105153_000000,172.19.130.68_20220124105153_000000,0.2,STATIC_ASSET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0085)
10.143.2.25_20220123121606_000000,10.143.2.25_20220123121606_000000,0.2,DYNAMIC_QUERY -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_STATIC_ASSET (p=0.1206)
172.19.130.68_20220124102847_000000,172.19.130.68_20220124102847_000000,0.18,STATIC_ASSET -> AUTH_ACTION,Rare transition: ADMIN_ACTION -> [HUMAN_SPEED]_STATIC_ASSET (p=0.0193)
10.143.2.91_20220122183029_000000,10.143.2.91_20220122183029_000000,0.18,AUTH_ACTION -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
172.19.130.68_20220124084929_000000,172.19.130.68_20220124084929_000000,0.18,STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0528)
10.143.2.91_20220124210054_000000,10.143.2.91_20220124210054_000000,0.17,AUTH_ACTION -> GENERIC_GET -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
10.143.2.91_20220124203222_000000,10.143.2.91_20220124203222_000000,0.17,STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
172.19.130.68_20220124163838_000000,172.19.130.68_20220124163838_000000,0.17,STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0528)
172.19.130.68_20220123193727_000000,172.19.130.68_20220123193727_000000,0.16,STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
172.19.130.68_20220123195752_000000,172.19.130.68_20220123195752_000000,0.16,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
10.143.2.91_20220124120241_000000,10.143.2.91_20220124120241_000000,0.16,GENERIC_GET -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
172.19.130.68_20220124201745_000000,172.19.130.68_20220124201745_000000,0.16,STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0528)
10.143.2.91_20220122203621_000000,10.143.2.91_20220122203621_000000,0.15,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0528)
172.19.131.174_20220124171322_000000,172.19.131.174_20220124171322_000000,0.15,STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0528)
172.19.130.68_20220124120242_000000,172.19.130.68_20220124120242_000000,0.15,STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_ADMIN_ACTION (p=0.0846)
10.143.3.65_20220122161502_000000,10.143.3.65_20220122161502_000000,0.15,FORM_SUBMISSION,Rare transition: FORM_SUBMISSION -> [HUMAN_SPEED]_GENERIC_GET (p=0.0786)
10.143.2.91_20220123144530_000000,10.143.2.91_20220123144530_000000,0.15,GENERIC_GET -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_ADMIN_ACTION (p=0.0846)
172.19.130.68_20220124203222_000000,172.19.130.68_20220124203222_000000,0.14,STATIC_ASSET -> ADMIN_ACTION,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0528)
172.19.130.68_20220122180349_000000,172.19.130.68_20220121120211_000000,0.14,DYNAMIC_QUERY,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0023)
172.19.131.174_20220124181317_000000,172.19.131.174_20220124181317_000000,0.14,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0528)
172.19.130.68_20220124164843_000000,172.19.130.68_20220124164843_000000,0.14,STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_ADMIN_ACTION (p=0.0846)
172.19.131.174_20220123195009_000000,172.19.131.174_20220123195009_000000,0.13,STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_ADMIN_ACTION (p=0.0846)
172.19.130.68_20220123195009_000000,172.19.130.68_20220123195009_000000,0.13,STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0528)
10.143.2.91_20220122184802_000000,10.143.2.91_20220122184802_000000,0.13,STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_ADMIN_ACTION (p=0.0846)
172.19.130.68_20220123160635_000000,172.19.130.68_20220123160635_000000,0.1,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0528)
10.143.2.4_20220121084837_000000,10.143.2.4_20220121084837_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220121094103_000000,10.143.2.4_20220121094103_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220123142741_000000,10.143.2.4_20220123142741_000000,0.0,TOO_SHORT,Sequence too short
172.19.131.174_20220122224749_000000,172.19.131.174_20220121104550_000000,0.0,DYNAMIC_QUERY -> SENSITIVE_FILE_ACCESS,Rare transition: SENSITIVE_FILE_ACCESS -> [HUMAN_SPEED]_DYNAMIC_QUERY (p=0.1512)
10.143.2.4_20220123192736_000000,10.143.2.4_20220123192736_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.25_20220123202325_000000,10.143.2.25_20220123202325_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220122161002_000000,10.143.2.4_20220122161002_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.91_20220122144844_000000,10.143.2.91_20220122144844_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220122142728_000000,10.143.2.4_20220122142728_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220122132846_000000,10.143.2.4_20220122132846_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220123205038_000000,10.143.2.4_20220123205038_000000,0.0,TOO_SHORT,Sequence too short
::1_20220123211423_000000,::1_20220123211423_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220123174243_000000,10.143.2.4_20220123174243_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220122173644_000000,10.143.2.4_20220122173644_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220121113448_000000,10.143.2.4_20220121113448_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220123190039_000000,10.143.2.4_20220123190039_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220122190536_000000,10.143.2.4_20220122190536_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220122162633_000000,10.143.2.4_20220122162633_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220124182908_000000,10.143.2.4_20220124182908_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220124154810_000000,10.143.2.4_20220124154810_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220123114636_000000,10.143.2.4_20220123114636_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220123132949_000000,10.143.2.4_20220123132949_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220123075424_000000,10.143.2.4_20220123075424_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220122193307_000000,10.143.2.4_20220122193307_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220123094643_000000,10.143.2.4_20220123094643_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220123103150_000000,10.143.2.4_20220123103150_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220121072528_000000,10.143.2.4_20220121072528_000000,0.0,TOO_SHORT,Sequence too short
::1_20220121073103_000000,::1_20220121073103_000000,0.0,TOO_SHORT,Sequence too short
172.19.130.68_20220123000419_000000,172.19.130.68_20220121120211_000000,0.0,DYNAMIC_QUERY,Rare transition: SENSITIVE_FILE_ACCESS -> [HUMAN_SPEED]_DYNAMIC_QUERY (p=0.1512)
10.143.2.25_20220121130925_000000,10.143.2.25_20220121130925_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220121142734_000000,10.143.2.4_20220121142734_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220121135609_000000,10.143.2.4_20220121135609_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220123152730_000000,10.143.2.4_20220123152730_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220123165945_000000,10.143.2.4_20220123165945_000000,0.0,TOO_SHORT,Sequence too short
172.19.131.174_20220123225038_000000,172.19.131.174_20220123225038_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220123225038_000000,10.143.2.4_20220123225038_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220121182939_000000,10.143.2.4_20220121182939_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220121192830_000000,10.143.2.4_20220121192830_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220124083619_000000,10.143.2.4_20220124083619_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220124092624_000000,10.143.2.4_20220124092624_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220122072648_000000,10.143.2.4_20220122072648_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.25_20220122065916_000000,10.143.2.25_20220122065916_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220121210325_000000,10.143.2.4_20220121210325_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220124103115_000000,10.143.2.4_20220124103115_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220122082813_000000,10.143.2.4_20220122082813_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220122093435_000000,10.143.2.4_20220122093435_000000,0.0,TOO_SHORT,Sequence too short
172.19.131.174_20220124043725_000000,172.19.131.174_20220124043725_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220121164339_000000,10.143.2.4_20220121164339_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220121153309_000000,10.143.2.4_20220121153309_000000,0.0,TOO_SHORT,Sequence too short
::1_20220121164048_000000,::1_20220121164048_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220122113134_000000,10.143.2.4_20220122113134_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220122104724_000000,10.143.2.4_20220122104724_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220124073458_000000,10.143.2.4_20220124073458_000000,0.0,TOO_SHORT,Sequence too short
::1_20220124064246_000000,::1_20220124064246_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220121212552_000000,10.143.2.4_20220121212552_000000,0.0,TOO_SHORT,Sequence too short
172.19.131.174_20220121224619_000000,172.19.131.174_20220121104550_000000,0.0,DYNAMIC_QUERY,Rare transition: SENSITIVE_FILE_ACCESS -> [HUMAN_SPEED]_DYNAMIC_QUERY (p=0.1512)
10.143.2.4_20220121223355_000000,10.143.2.4_20220121223355_000000,0.0,TOO_SHORT,Sequence too short
172.19.130.68_20220122000249_000000,172.19.130.68_20220121120211_000000,0.0,DYNAMIC_QUERY -> SENSITIVE_FILE_ACCESS,Rare transition: SENSITIVE_FILE_ACCESS -> [HUMAN_SPEED]_DYNAMIC_QUERY (p=0.1512)
10.143.2.4_20220124132736_000000,10.143.2.4_20220124132736_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220124143539_000000,10.143.2.4_20220124143539_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220121173128_000000,10.143.2.4_20220121173128_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220121214736_000000,10.143.2.4_20220121214736_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220124114157_000000,10.143.2.4_20220124114157_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220124205909_000000,10.143.2.4_20220124205909_000000,0.0,TOO_SHORT,Sequence too short
::1_20220124183234_000000,::1_20220124183234_000000,0.0,TOO_SHORT,Sequence too short
::1_20220121065632_000000,::1_20220121065632_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220124162844_000000,10.143.2.4_20220124162844_000000,0.0,TOO_SHORT,Sequence too short
10.143.2.4_20220121111559_000000,10.143.2.4_20220121111559_000000,0.0,TOO_SHORT,Sequence too short
